Postcode,Locality
3111,DONVALE
3113,NORTH WARRANDYTE
3113,WARRANDYTE
3114,PARK ORCHARDS
3115,WONGA PARK
3116,CHIRNSIDE PARK
3121,BURNLEY
3121,BURNLEY NORTH
3121,CREMORNE
3121,RICHMOND
3121,RICHMOND EAST
3121,RICHMOND NORTH
3121,RICHMOND SOUTH
3121,VICTORIA GARDENS
3122,AUBURN SOUTH
3122,GLENFERRIE SOUTH
3122,HAWTHORN
3122,HAWTHORN NORTH
3122,HAWTHORN WEST
3123,AUBURN
3123,HAWTHORN EAST
3124,CAMBERWELL
3124,CAMBERWELL NORTH
3124,CAMBERWELL SOUTH
3124,CAMBERWELL WEST
3124,HARTWELL
3124,MIDDLE CAMBERWELL
3125,BENNETTSWOOD
3125,BURWOOD
3125,SURREY HILLS SOUTH
3126,CAMBERWELL EAST
3126,CANTERBURY
3127,MONT ALBERT
3127,SURREY HILLS
3127,SURREY HILLS NORTH
3128,BOX HILL
3128,BOX HILL CENTRAL
3128,BOX HILL SOUTH
3128,HOUSTON
3128,WATTLE PARK
3129,BOX HILL NORTH
3129,KERRIMUIR
3129,MONT ALBERT NORTH
3130,BLACKBURN
3130,BLACKBURN NORTH
3130,BLACKBURN SOUTH
3130,LABURNUM
3131,BRENTFORD SQUARE
3131,FOREST HILL
3131,NUNAWADING
3132,MITCHAM
3132,MITCHAM NORTH
3132,RANGEVIEW
3133,VERMONT
3133,VERMONT SOUTH
3134,HEATHWOOD
3134,RINGWOOD
3134,RINGWOOD NORTH
3134,WARRANDYTE SOUTH
3134,WARRANWOOD
3135,BEDFORD ROAD
3135,HEATHMONT
3135,RINGWOOD EAST
3136,CROYDON
3136,CROYDON HILLS
3136,CROYDON NORTH
3136,CROYDON SOUTH
3137,KILSYTH
3137,KILSYTH SOUTH
3138,MOOROOLBARK
3139,BEENAK
3139,DON VALLEY
3139,HODDLES CREEK
3139,LAUNCHING PLACE
3139,SEVILLE
3139,SEVILLE EAST
3139,WANDIN EAST
3139,WANDIN NORTH
3139,WOORI YALLOCK
3139,YELLINGBO
3140,LILYDALE
3141,CHAPEL STREET NORTH
3141,DOMAIN ROAD PO
3141,SOUTH YARRA
3142,HAWKSBURN
3142,TOORAK
3143,ARMADALE
3143,ARMADALE NORTH
3144,KOOYONG
3144,MALVERN
3144,MALVERN NORTH
3145,CAULFIELD EAST
3145,CENTRAL PARK
3145,DARLING
3145,DARLING SOUTH
3145,MALVERN EAST
3145,WATTLETREE ROAD PO
3146,GLEN IRIS
3146,TOORONGA
3147,ASHBURTON
3147,ASHWOOD
3148,CHADSTONE
3148,CHADSTONE CENTRE
3148,HOLMESGLEN
3148,JORDANVILLE
3149,MOUNT WAVERLEY
3149,PINEWOOD
3149,SYNDAL
3150,BRANDON PARK
3150,GLEN WAVERLEY
3150,WHEELERS HILL
3151,BURWOOD EAST
3151,BURWOOD HEIGHTS
3152,KNOX CITY CENTRE
3152,STUDFIELD
3152,WANTIRNA
3152,WANTIRNA SOUTH
3153,BAYSWATER
3153,BAYSWATER NORTH
3154,THE BASIN
3155,BORONIA
3156,FERNTREE GULLY
3156,LYSTERFIELD
3156,LYSTERFIELD SOUTH
3156,MOUNTAIN GATE
3156,UPPER FERNTREE GULLY
3158,UPWEY
3159,MENZIES CREEK
3159,SELBY
3160,BELGRAVE
