"","Postcode","Locality","Average net tax 1","Percentage of total Average Tax paid","Average Salary 1","Percentage of Total State Income","Average Net Tax","Average Salary"
"68",3029,"HOPPERS CROSSING",11311,0.121904679,51648,0.158404866,0.068100717,0.329757397
"69",3029,"TARNEIT",11311,0.121904679,51648,0.158404866,0.068100717,0.329757397
"70",3029,"TRUGANINA",11311,0.121904679,51648,0.158404866,0.068100717,0.329757397
"71",3030,"CHARTWELL",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"72",3030,"COCOROC",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"73",3030,"POINT COOK",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"74",3030,"QUANDONG",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"75",3030,"WERRIBEE",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"76",3030,"WERRIBEE SOUTH",13818,0.148923955,57230,0.175524909,0.103885352,0.408035339
"77",3031,"FLEMINGTON",17139,0.184716143,62341,0.19120039,0.151288932,0.479708316
"78",3031,"KENSINGTON",17139,0.184716143,62341,0.19120039,0.151288932,0.479708316
"79",3032,"ASCOT VALE",17989,0.193877046,60897,0.18677163,0.163421736,0.459458701
"80",3032,"HIGHPOINT CITY",17989,0.193877046,60897,0.18677163,0.163421736,0.459458701
"81",3032,"MARIBYRNONG",17989,0.193877046,60897,0.18677163,0.163421736,0.459458701
"82",3032,"TRAVANCORE",17989,0.193877046,60897,0.18677163,0.163421736,0.459458701
"83",3033,"KEILOR EAST",14490,0.156166457,56101,0.172062256,0.113477404,0.392203057
"84",3034,"AVONDALE HEIGHTS",14326,0.154398942,54162,0.166115326,0.111136487,0.36501192
"85",3036,"KEILOR",18716,0.201712313,58101,0.178196273,0.173798852,0.420249614
"86",3036,"KEILOR NORTH",18716,0.201712313,58101,0.178196273,0.173798852,0.420249614
"87",3037,"CALDER PARK",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"88",3037,"DELAHEY",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"89",3037,"HILLSIDE",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"90",3037,"PLUMPTON",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"91",3037,"SYDENHAM",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"92",3037,"TAYLORS HILL",11868,0.127907765,52856,0.162109812,0.076051272,0.346697518
"93",3038,"KEILOR DOWNS",12862,0.138620633,52911,0.162278498,0.090239516,0.347468798
"94",3038,"KEILOR LODGE",12862,0.138620633,52911,0.162278498,0.090239516,0.347468798
"95",3038,"TAYLORS LAKES",12862,0.138620633,52911,0.162278498,0.090239516,0.347468798
"96",3038,"WATERGARDENS",12862,0.138620633,52911,0.162278498,0.090239516,0.347468798
"97",3039,"MOONEE PONDS",21119,0.227610725,67164,0.205992573,0.208099004,0.547342589
"98",3040,"ABERFELDIE",22210,0.239369014,64905,0.1990642,0.223671815,0.515664002
"99",3040,"ESSENDON",22210,0.239369014,64905,0.1990642,0.223671815,0.515664002
"100",3040,"ESSENDON WEST",22210,0.239369014,64905,0.1990642,0.223671815,0.515664002
"101",3041,"CROSS KEYS",19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
"102",3041,"ESSENDON FIELDS",19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
"103",3041,"ESSENDON NORTH",19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
"104",3041,"STRATHMORE",19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
"105",3041,"STRATHMORE HEIGHTS",19050,0.205312009,62468,0.1915899,0.178566331,0.481489272
"106",3042,"AIRPORT WEST",14090,0.151855444,57661,0.176846789,0.107767849,0.414079372
"107",3042,"KEILOR PARK",14090,0.151855444,57661,0.176846789,0.107767849,0.414079372
"108",3042,"NIDDRIE",14090,0.151855444,57661,0.176846789,0.107767849,0.414079372
"109",3042,"NIDDRIE NORTH",14090,0.151855444,57661,0.176846789,0.107767849,0.414079372
"110",3043,"GLADSTONE PARK",11946,0.128748413,52449,0.16086154,0.077164635,0.340990043
"111",3043,"GOWANBRAE",11946,0.128748413,52449,0.16086154,0.077164635,0.340990043
"112",3043,"TULLAMARINE",11946,0.128748413,52449,0.16086154,0.077164635,0.340990043
